ImageNumber,Group,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Children_RO_PositiveNuclei_Count,Intensity_IntegratedIntensityEdge_FilteredMaskedGreen,Intensity_IntegratedIntensity_FilteredMaskedGreen,Intensity_LowerQuartileIntensity_FilteredMaskedGreen,Intensity_MADIntensity_FilteredMaskedGreen,Intensity_MassDisplacement_FilteredMaskedGreen,Intensity_MaxIntensityEdge_FilteredMaskedGreen,Intensity_MaxIntensity_FilteredMaskedGreen,Intensity_MeanIntensityEdge_FilteredMaskedGreen,Intensity_MeanIntensity_FilteredMaskedGreen,Intensity_MedianIntensity_FilteredMaskedGreen,Intensity_MinIntensityEdge_FilteredMaskedGreen,Intensity_MinIntensity_FilteredMaskedGreen,Intensity_StdIntensityEdge_FilteredMaskedGreen,Intensity_StdIntensity_FilteredMaskedGreen,Intensity_UpperQuartileIntensity_FilteredMaskedGreen,Location_MaxIntensity_X_FilteredMaskedGreen,Location_MaxIntensity_Y_FilteredMaskedGreen,Location_MaxIntensity_Z_FilteredMaskedGreen,Math_BackgroundCorrection,Math_CTCF,Number_Object_Number,Parent_h2AX
1,CSE,1,2422,1214,29,1,1.12498111,0.787448045,1,0.780032206,0.787455122,70.84309054,69.05070601,21.54065923,8.570347513,8,44,43.66633726,-4.488889077,196.598,0.965709729,0,0.305882335,11.14509857,0,0.003921568,1.327753484,0.011764705,0.031372547,0.001788786,0.00460161,0.003921568,0,0,0.003005205,0.004939892,0.007843137,1227,32,0,5.257200366,5.887898203,1,0
1,CSE,2,1956,1310,65,1,1.211289202,0.84479108,1,0.722838137,0.748175556,68.42826474,66.70832032,18.02775638,7.408304616,7,37.01408916,36.61571002,15.30896727,181.254,0.959529065,0,0.254901951,8.509803662,0,0.003921568,0.966404549,0.011764705,0.066666663,0.001655207,0.004350615,0.003921568,0,0,0.002818774,0.00577143,0.007843137,1319,61,0,4.245699387,4.264104275,2,0
1,CSE,3,2117,757,73,1,1.117550982,0.783670453,1,0.751775568,0.829519978,65.87952701,64.76109943,19.92485885,8.123943248,7.280109889,39.93771084,40.92283404,-15.40362323,179.082,0.968435499,0,0.168627463,6.733333021,0,0.003921568,1.441670049,0.007843139,0.019607846,0.00110214,0.003180601,0.003921568,0,0,0.002707215,0.003885672,0.003921568,735,79,0,4.595166463,2.138166558,3,0
1,CSE,4,2098,1334,118,1,1.171464009,0.825817662,1,0.739252995,0.804016169,68.8493614,67.06713055,18.97366596,7.860002207,7.071067812,37.35048626,38.82671758,16.72216202,181.082,0.97084683,0,0.352941155,9.321568426,0,0.003921568,0.217672946,0.007843137,0.031372551,0.00227704,0.004443074,0.003921568,0,0,0.003560088,0.004518972,0.007843137,1337,119,0,4.553925007,4.767643418,4,0
1,CSE,5,1405,97,148,1,1.440663716,0.911099312,1,0.686705767,0.670384673,66.32539502,62.64183905,13.34166406,5.778636111,5.385164807,26.28690646,27.33845929,15.59926115,162.286,0.960683761,0,0.270588236,6.105882861,0,0.003921568,1.65848325,0.011764705,0.023529414,0.001919066,0.004345824,0.003921568,0,0,0.003289884,0.005092783,0.007843137,57,140,0,3.049697157,3.056185704,5,0
1,CSE,6,2328,338,153,1,1.089849256,0.751727097,1,0.750483559,0.838933301,67.04372597,66.09841148,21.84032967,8.638515113,7.810249676,43.38609156,44.2136152,-11.5191943,186.738,0.968184654,0,0.407843113,10.27058866,0,0.003921568,0.417634687,0.007843137,0.031372551,0.002565051,0.004411765,0.003921568,0,0,0.003261429,0.004910797,0.003921572,318,155,0,5.053163688,5.217424971,6,0
1,CSE,7,4327,626,172,1,1.139397778,0.799932471,1,0.675249688,0.771146439,95.9474734,94.15412896,28.63564213,11.19630017,10.04987562,58.13776741,57.57712204,-57.3596296,265.54,0.965309537,0,0.423529387,20.22352956,0,0.003921568,0.960278116,0.007843137,0.062745094,0.001942795,0.004673799,0.003921568,0,0,0.002939622,0.00588931,0.007843137,602,168,0,9.392199002,10.83133056,7,0
1,CSE,8,1794,540,175,1,1.220698186,0.836190011,1,0.743781095,0.716705161,65.42543583,66.91038783,17.4642492,6.916183213,6.32455532,35,35.88191596,-87.53058545,177.356,0.945953071,0,0.278431378,8.258824248,0,0.003921568,1.659535325,0.027450981,0.031372547,0.001807996,0.004603581,0.003921568,0,0,0.003873737,0.005384169,0.007843137,543,155,0,3.894061708,4.36476254,8,0
1,CSE,9,2481,360,208,1,1.240112138,0.860372966,1,0.642080745,0.75207996,78.77913622,77.69813383,19.79898987,8.184872367,7.615773106,39.66106403,40.15096433,-56.34657748,203.604,0.967440047,1,0.466666639,13.11764833,0,0.003921568,1.327537246,0.015686274,0.125490203,0.002811245,0.005287242,0.003921568,0,0,0.003623094,0.007897919,0.007843137,352,215,0,5.38526594,7.732382393,9,3
1,CSE,10,1571,211,205,1,1.260953425,0.866678407,1,0.677155172,0.757598451,63.51005785,61.40032573,15.5241747,6.549286832,6,30.59439886,31.68308827,24.43514934,161.426,0.973358116,0,0.227450967,7.6784321,0,0.003921568,0.63493579,0.011764705,0.031372547,0.001660226,0.004887608,0.003921568,0,0,0.003060556,0.005506671,0.007843139,213,211,0,3.410017248,4.268414851,10,0
1,CSE,11,2325,410,200,1,1.150649091,0.8055849,1,0.638736264,0.760941291,70.94452829,69.77105417,20.39607805,8.13771121,7.280109889,42.02789434,42.03323922,-53.00656536,195.948,0.942058347,1,0.501960777,14.74902085,0,0.003921568,7.7705173,0.023529412,0.14509806,0.003137255,0.006343665,0.003921568,0,0,0.004615138,0.013111745,0.007843137,385,214,0,5.046651879,9.702368968,11,2
1,CSE,12,3206,1226,215,1,1.131114741,0.795842739,1,0.761158594,0.821423461,82.10745306,81.78630692,24.73863375,9.853709117,8.94427191,49.61899781,49.71633981,-9.872879753,221.464,0.97372817,1,0.411764681,21.72941146,0,0.003921568,2.752716845,0.015686274,0.231372565,0.002167183,0.006777733,0.003921568,0,0,0.003587118,0.013583365,0.007843137,1244,203,0,6.958953085,14.77045837,12,1
1,CSE,13,1807,545,219,1,1.09612902,0.709481606,1,0.712258573,0.775817156,58.01570385,58.69412236,19.79898987,7.402351094,6.708203932,40.93344806,40.88505621,76.15148832,171.082,0.943356826,0,0.423529405,7.294117821,0,0.003921568,1.386643368,0.019607844,0.039215688,0.002941176,0.00403659,0.003921568,0,0,0.003768811,0.004989727,0.00392157,538,230,0,3.922279546,3.371838275,13,0
1,CSE,14,2888,618,248,1,1.08313091,0.731845808,1,0.705078125,0.80734951,73.67758156,73.10950691,24.69817807,9.426979035,8.51464256,50.28868015,50.20908058,-45.52562743,212.018,0.96138482,1,0.278431356,21.59999949,0,0.003921568,2.233869407,0.011764705,0.149019629,0.001591036,0.007479224,0.003921568,0,0,0.003195458,0.011903552,0.011764705,623,237,0,6.268701345,15.33129815,14,4
1,CSE,15,1694,416,251,1,1.060505709,0.67871042,1,0.720238095,0.828906439,54.48552923,55.14526272,19.41648784,7.445082035,6.708203932,38.32062876,40.0144993,82.41005203,160.254,0.954904171,0,0.427450975,8.243138071,0,0.003921568,2.254619071,0.031372547,0.035294116,0.003189933,0.004866079,0.003921568,0,0,0.00527371,0.005456604,0.007843137,410,229,0,3.677001412,4.566136659,15,0
1,CSE,16,2179,525,265,1,1.131755939,0.790060641,1,0.741156463,0.793118859,67.5035784,69.35416354,20.88061302,8.114254445,7.211102551,40.93249373,41.38163074,86.8711533,185.808,0.969953261,0,0.411764685,10.36078565,0,0.003921568,0.600035073,0.015686274,0.031372547,0.002639517,0.004754835,0.003921568,0,0,0.003849602,0.005429299,0.007843139,532,260,0,4.729743847,5.631041805,16,0
1,CSE,17,3381,657,282,1,1.688505768,0.942377817,1,0.475527426,0.619796897,114.1703013,108.2312339,18.86796226,8.086869972,7.810249676,37.98233087,38.19573372,-49.21866877,261.82,0.970993682,1,0.623529416,82.96078718,0,0.011764705,2.549840247,0.031372547,0.247058809,0.002997738,0.024537352,0.011764705,0,0,0.005324592,0.034310932,0.035294119,672,269,0,7.338808603,75.62197857,17,8
1,CSE,18,1691,1156,292,1,1.160056165,0.81727196,1,0.644927536,0.778426696,61.19694806,59.94163828,17.4642492,7.127806549,6.403124237,34.39141217,35.26487305,-58.20573971,165.222,0.966009712,0,0.254901946,7.439216474,0,0.003921568,0.161110911,0.007843137,0.027450982,0.001916556,0.0043993,0.003921568,0,0,0.003212158,0.005289871,0.007843137,1142,293,0,3.670489603,3.768726871,18,0
1,CSE,19,2820,386,321,1,1.146229568,0.800657787,1,0.678863746,0.787062366,77.74401146,76.69419796,22.8035085,9.089005259,8.246211251,45.20806599,46.57814351,-52.50771101,212.19,0.966084275,0,0.34117645,10.26274493,0,0.003921568,1.800190134,0.015686274,0.031372551,0.001938503,0.003639271,0.003921568,0,0,0.003344251,0.004291028,0.003921568,375,318,0,6.121100343,4.14164459,19,0
1,CSE,20,1609,1146,344,1,1.183076988,0.830671677,1,0.645925331,0.799983303,60.79132655,59.03388857,16.64331698,6.880311814,6.32455532,32.52691193,33.84633549,-38.8426849,158.98,0.970153753,0,0.227450967,6.894118214,0,0.003921568,1.741717236,0.011764705,0.027450981,0.001749623,0.004284722,0.003921568,0,0,0.003078697,0.005126077,0.007843137,1130,356,0,3.49250016,3.401618054,20,0
1,CSE,21,1834,549,348,1,1.088332631,0.732919116,1,0.719215686,0.833805949,58.90766652,58.41232747,19.10497317,7.585867988,7,39.89659453,40.07581549,39.77827405,166.254,0.96146789,0,0.396078408,8.639216539,0,0.003921568,1.839947299,0.007843137,0.10980393,0.002809067,0.004710587,0.003921568,0,0,0.003313313,0.006551526,0.007843137,556,346,0,3.980885826,4.658330712,21,0
1,CSE,22,2238,468,349,1,1.175168947,0.823364631,1,0.76880797,0.798526797,71.1089467,70.57619995,20.39607805,8.059383704,7.24560622,40,40.35523158,85.30925485,187.668,0.968831169,0,0.384313703,10.42352941,0,0.003921568,0.393902605,0.007843137,0.031372547,0.002372307,0.00465752,0.003921568,0,0,0.003468312,0.005136284,0.007843137,476,369,0,4.857809421,5.565719991,22,0
1,CSE,23,1778,360,376,1,1.086237802,0.745385502,1,0.747687132,0.802004687,58.31557665,57.56735186,19.6468827,7.614779998,7,38.46036921,38.87512705,-15.41063517,166.91,0.964731416,0,0.309803903,7.360784333,0,0.003921568,0.769133496,0.011764705,0.023529414,0.002261342,0.004139924,0.003921568,0,0,0.003307348,0.004712465,0.007843137,369,372,0,3.85933206,3.501452273,23,0
1,CSE,24,1487,1073,404,1,1.181823794,0.831010715,1,0.688425926,0.781831367,58.4272075,57.30619513,16.1245155,6.642111294,6,31.75216528,32.50050857,-63.24942082,154.598,0.969993477,0,0.368627429,7.384314753,0,0.00392157,1.193587714,0.007843137,0.031372547,0.002857577,0.004965914,0.00392157,0,0,0.003546493,0.005446719,0.007843139,1068,406,0,3.2276866,4.156628154,24,0
1,CSE,25,2569,240,413,1,1.119000633,0.782792995,1,0.689479334,0.806107533,72.57222823,72.23572523,22.8035085,8.891699178,8.062257748,45.16857315,45.16040532,62.79420146,200.12,0.967608286,0,0.360784292,13.8823544,0,0.003921568,2.512246307,0.015686274,0.043137252,0.002173399,0.005403797,0.003921568,0,0,0.003765031,0.006240718,0.007843139,239,434,0,5.576279001,8.306075398,25,0
1,CSE,26,2047,415,408,1,1.177166158,0.829696726,1,0.676917989,0.800838729,68.3403627,66.70832032,18.60107524,7.758257212,7.071067812,36.79180537,38.14857623,28.15521797,179.222,0.972446556,0,0.352941155,9.666667975,0,0.00392157,0.919573776,0.015686274,0.031372547,0.002368733,0.004722359,0.00392157,0,0,0.003572251,0.005269929,0.007843137,437,420,0,4.443224256,5.223443719,26,0
1,CSE,27,1171,1285,420,1,1.153896128,0.780565361,1,0.711854103,0.784681523,49.72740494,47.16990566,14,5.824382413,5.385164807,30.88070559,31.08331636,-17.37546676,136.942,0.929734021,0,0.466666643,5.200000254,0,0.003921568,0.215122058,0.070588231,0.070588231,0.004057971,0.004440649,0.003921568,0,0,0.009646551,0.00605804,0.007843137,1266,415,0,2.541776065,2.65822419,27,0
1,CSE,28,1881,309,444,1,1.210485394,0.845148146,1,0.689516129,0.781537011,67.09923823,65.19202405,17.4642492,7.303627999,6.708203932,34.51116555,35.86669952,-23.27904254,173.91,0.972595657,0,0.254901946,10.21960805,0,0.003921568,0.931764745,0.015686274,0.035294123,0.001734027,0.005433072,0.003921568,0,0,0.00314023,0.00649489,0.007843139,313,436,0,4.082904165,6.136703881,28,0
1,CSE,29,2839,533,461,1,1.108286625,0.771483693,1,0.777808219,0.849087171,75.44316038,74.33034374,23.76972865,9.427933124,8.544003745,47.4601047,48.00064259,76.33773751,204.98,0.974262183,0,0.419607818,11.05098038,0,0.003921568,2.509291078,0.011764705,0.027450982,0.002384135,0.003892561,0.003921568,0,0,0.003421157,0.004530337,0.007843137,541,479,0,6.1623418,4.88863858,29,0
1,CSE,30,3809,1130,494,1,1.122212891,0.788923325,1,0.678240741,0.809550064,88.7788415,88.09086218,27.20294102,10.72719015,9.848857802,54.26425772,54.55385679,-39.5172376,243.158,0.973048921,0,0.517647043,20.82745248,0,0.003921568,2.47526534,0.019607846,0.054901965,0.002562609,0.005467958,0.003921568,0,0,0.003880022,0.006947136,0.007843139,1116,503,0,8.26782667,12.55962581,30,0
1,CSE,31,2246,380,503,1,1.176030282,0.822074747,1,0.588112071,0.716291574,71.20469728,70.29224708,19.79898987,7.967337488,7.071067812,39.22806021,40.54250086,-38.55900354,198.502,0.946082561,0,0.419607833,9.831373701,0,0.003921568,0.25884759,0.007843139,0.035294116,0.002655746,0.004377281,0.003921568,0,0,0.003509471,0.005297567,0.007843137,364,513,0,4.875174245,4.956199456,31,0
1,CSE,32,4432,724,504,1,1.14773107,0.650718679,1,0.6270515,0.66276738,90.52235434,92.57429449,27.29468813,10.02794185,9.219544457,68.20134425,68.73533505,-25.91722457,289.884,0.920552498,0,0.490196049,20.7019624,0,0.003921568,1.076059606,0.011764705,0.035294119,0.0020008,0.00467102,0.003921568,0,0,0.003181209,0.00514784,0.007843137,728,497,0,9.620112313,11.08185009,32,0
1,CSE,33,3553,907,508,1,1.049618364,0.608380439,1,0.800225225,0.781317543,76.24568231,79.64923101,29,10.41972428,9.219544457,57.89483817,60.51204563,-19.386493,239.05,0.95884496,1,0.396078426,19.89411868,0,0.003921568,1.345391931,0.011764705,0.247058839,0.00193209,0.005599245,0.003921568,0,0,0.003185179,0.011884902,0.007843137,907,511,0,7.712152312,12.18196637,33,30
1,CSE,34,1834,1266,515,1,1.204114987,0.841646237,1,0.746438746,0.775811803,65.93165418,63.78871374,17.08800749,7.223386108,6.708203932,34.38596364,35.60502302,-77.43444231,172.356,0.962224554,0,0.258823514,7.988235921,0,0.003921568,1.563661311,0.007843137,0.082352951,0.001737071,0.004355636,0.003921568,0,0,0.002957844,0.005981328,0.007843137,1254,527,0,3.980885826,4.007350094,34,0
1,CSE,35,2792,604,517,1,1.051305306,0.632420736,1,0.684313725,0.778498932,68.28255963,69.26037828,24.69817807,9.301926491,8.246211251,56.28123294,52.89338313,-6.934323257,212.292,0.930046636,1,0.976470601,16.09019686,0,0.003921568,2.857816055,0.168627471,0.168627471,0.005455143,0.005762964,0.003921568,0,0,0.018938349,0.009158908,0.007843139,593,539,0,6.060323461,10.0298734,35,39
