,ImageNumber,Nuclei Count,Group,Parent_H2AX_Sum,Parent_H2AX_Mean,Positive Nuclei
0,1,85,CSE,293,19.533333333333335,5
1,2,76,CSE,161,10.733333333333333,5
2,3,68,CSE,126,8.4,1
3,4,60,CSE,428,28.533333333333335,5
4,5,74,CSE,225,15.0,4
5,6,45,CSE,43,2.8666666666666667,2
6,7,22,CSE,23,1.5333333333333334,3
7,8,114,CSE,385,25.666666666666668,3
8,9,120,CSE,803,53.53333333333333,4
9,10,79,CSE,196,13.066666666666666,4
10,11,78,CSE,432,28.8,5
11,12,97,CSE,380,25.333333333333332,3
12,13,47,CSE,368,24.533333333333335,4
13,14,25,CSE,237,15.8,4
14,15,77,CSE,855,57.0,6
15,16,49,CSE,424,28.266666666666666,7
16,17,93,CSE,908,60.53333333333333,5
17,18,53,CSE,729,48.6,9
18,19,62,CSE,686,45.733333333333334,7
19,20,39,CSE,577,38.46666666666667,5
20,21,44,CSE,262,17.466666666666665,3
21,22,80,CSE,1024,68.26666666666667,7
22,23,109,CSE,242,16.133333333333333,4
23,24,80,CSE,210,14.0,7
24,25,79,CSE,291,19.4,3
25,26,64,CSE,387,25.8,7
26,27,40,Control,47,3.1333333333333333,2
27,28,68,Control,323,21.533333333333335,3
28,29,55,Control,821,54.733333333333334,9
29,30,58,Control,688,45.86666666666667,6
30,31,76,Control,91,6.066666666666666,6
31,32,89,Control,251,16.733333333333334,5
32,33,46,Control,90,6.0,5
33,34,63,Control,46,3.066666666666667,1
34,35,50,Control,191,12.733333333333333,7
35,36,42,Control,25,1.6666666666666667,3
36,37,50,Control,76,5.066666666666666,4
37,38,54,Control,138,9.2,4
38,39,107,Control,864,57.6,6
39,40,99,Control,34,2.2666666666666666,1
40,41,105,Control,54,3.6,2
41,42,84,Control,128,8.533333333333333,4
42,43,96,Control,236,15.733333333333333,4
43,44,115,Control,26,1.7333333333333334,1
44,45,102,Control,32,2.1333333333333333,1
45,46,53,Control,268,17.866666666666667,7
46,47,49,Control,115,7.666666666666667,5
47,48,42,Control,280,18.666666666666668,8
48,49,53,Control,503,33.53333333333333,5
49,50,47,PGVG,2390,159.33333333333334,10
50,51,46,PGVG,0,0.0,0
51,52,51,PGVG,794,52.93333333333333,8
52,53,30,PGVG,1264,84.26666666666667,10
53,54,28,PGVG,1137,75.8,12
